Gender,Chain,PaymentMethod,Occupation,Age,FamilySize,Income,PurchaseAmount
Female,Other,Cash,Retired,33,3,67800,569.99
Female,Major D,StoreCard,Retired,64,2,56900,558.85
Female,Major D,Check,Other,53,2,26300,549.57
Female,Major A,Check,Other,39,2,74400,542.41
Female,Regional C,StoreCard,Owners,69,3,46400,539.36
Female,Other,StoreCard,Skilled,45,3,91300,536.33
Female,Other,Cash,Other,41,1,3700,521.28
Female,Major E,DebitCard,Service,55,7,63600,519.18
Female,Major A,Cash,Retired,70,2,17700,516.05
Male,Regional C,StoreCard,Other,43,2,52300,515.8
Female,Regional C,StoreCard,Service,35,5,0,512.68
Male,Regional B,Cash,Skilled,40,3,2500,510.67
Female,Major B,Check,Sales,26,3,28800,509.24
Female,Regional A,Cash,Service,29,2,41200,508.59
Male,Major E,StoreCard,Retired,54,2,92000,507.54
Female,Major D,Check,Owners,24,2,39000,507.35
Male,Major B,StoreCard,Other,35,4,74900,507.28
Male,Major B,Check,Other,58,2,22600,506.73
Female,Major B,StoreCard,Professional,39,3,57500,506.21
Female,Major B,Other,Sales,41,5,67300,506.01
Female,Major A,Cash,Retired,64,2,84600,505.82
Male,Other,Check,Owners,73,2,50300,505.35
Male,Major E,Cash,Other,55,2,25000,505.34
Female,Other,DebitCard,Other,48,4,3900,505.07
Male,Regional B,Cash,Professional,32,3,92100,504.98
Male,Major B,StoreCard,Professional,46,2,52200,504.82
Male,Major A,Cash,Skilled,26,2,8450,504.68
Female,Major B,StoreCard,Professional,48,2,40300,504.42
Male,Major B,Cash,Other,81,3,22000,504.38
Male,Major E,StoreCard,Owners,38,2,1900,504.21
Male,Regional B,StoreCard,Retired,55,5,52400,504.13
Female,Regional C,StoreCard,Professional,38,3,33300,504.08
Female,Major B,Check,Retired,26,1,45900,504.05
Female,Other,Cash,Other,56,2,57800,503.96
Female,Major E,StoreCard,Other,58,3,11350,503.62
Female,Major A,Cash,Professional,61,4,52000,503.4
Male,Major A,DebitCard,Other,63,2,34600,503.38
Male,Major B,Cash,Retired,78,1,87700,503.33
Female,Regional D,StoreCard,Professional,25,1,31600,503.22
Female,Major A,DebitCard,Owners,58,2,25700,502.95
Female,Major A,Cash,Service,40,2,74800,502.86
Female,Major A,Cash,Retired,37,2,20600,502.75
Female,Major D,StoreCard,Other,44,2,2600,502.48
Male,Major A,StoreCard,Owners,43,2,6100,502.02
Male,Major E,Check,Other,34,2,38100,501.74
Male,Major D,Cash,Other,25,2,19500,501.63
Male,Major E,StoreCard,Professional,49,4,41100,501.55
Female,Other,Check,Owners,39,4,2300,501.45
Female,Major B,StoreCard,Retired,59,5,48400,501.45
Male,Major A,Cash,Retired,41,3,32600,501.38
Female,Major E,Check,Owners,63,2,29100,500.87
Female,Other,StoreCard,Other,57,1,47200,500.66
Male,Major E,Cash,Other,27,2,19400,500.54
Female,Major A,DebitCard,Skilled,38,5,61800,500.47
Male,Major D,StoreCard,Professional,71,2,40200,500.36
Male,Regional C,Cash,Service,29,1,3400,500.24
Male,Regional B,Check,Retired,73,2,22900,500.06
Female,Other,StoreCard,Other,27,3,36200,500.02
Female,Major A,Cash,Service,32,4,62500,499.75
Female,Major E,StoreCard,Skilled,50,3,85700,499.34
Female,Major A,Cash,Retired,21,6,37000,499.05
Female,Other,Check,Owners,39,2,13900,499.04
Female,Regional D,StoreCard,Other,72,2,42700,498.75
Male,Other,DebitCard,Service,23,2,11150,498.63
Female,Other,Cash,Other,78,1,8000,498.6
Female,Other,Cash,Other,48,5,92100,498.57
Female,Major D,Check,Other,23,5,86200,498.43
Male,Regional C,StoreCard,Other,43,2,47200,498.27
Male,Other,Check,Owners,39,2,12650,497.87
Female,Major A,Cash,Service,51,5,13050,497.84
Female,Regional D,StoreCard,Military,40,3,69600,497.67
Female,Regional A,Cash,Other,54,2,74200,497.61
Female,Regional C,Cash,Service,48,2,49600,497.37
Female,Regional A,StoreCard,Other,45,2,14700,497.2
Female,Major B,StoreCard,Skilled,58,2,6550,497.18
